R.1,R.2,R.3,score,rebuild
1,0,0,-0.516,FALSE
0.99,0.01,0,-0.51266,FALSE
0.98,0.02,0,-0.50932,FALSE
0.97,0.03,0,-0.50598,FALSE
0.96,0.04,0,-0.50264,FALSE
0.95,0.05,0,-0.4993,FALSE
0.94,0.06,0,-0.49596,FALSE
0.93,0.07,0,-0.49262,FALSE
0.92,0.08,0,-0.48928,FALSE
0.91,0.09,0,-0.48594000000000004,FALSE
0.9,0.1,0,-0.48260000000000003,FALSE
0.89,0.11,0,-0.47926,FALSE
0.88,0.12,0,-0.47592,FALSE
0.87,0.13,0,-0.47258,FALSE
0.86,0.14,0,-0.46924,FALSE
0.85,0.15,0,-0.46590000000000004,FALSE
0.84,0.16,0,-0.46256,FALSE
0.83,0.17,0,-0.45922,FALSE
0.82,0.18,0,-0.45588,FALSE
0.81,0.19,0,-0.45254,FALSE
0.8,0.2,0,-0.4492,FALSE
0.79,0.21,0,-0.44586000000000003,FALSE
0.78,0.22,0,-0.44252,FALSE
0.77,0.23,0,-0.43918,FALSE
0.76,0.24,0,-0.43584,FALSE
0.75,0.25,0,-0.4325,FALSE
0.74,0.26,0,-0.42916,FALSE
0.73,0.27,0,-0.42582,FALSE
0.72,0.28,0,-0.42247999999999997,FALSE
0.71,0.29,0,-0.41914,FALSE
0.7,0.3,0,-0.4158,FALSE
0.69,0.31,0,-0.41246,FALSE
0.68,0.32,0,-0.40912000000000004,FALSE
0.67,0.33,0,-0.40578000000000003,FALSE
0.66,0.34,0,-0.40244,FALSE
0.65,0.35,0,-0.3991,FALSE
0.64,0.36,0,-0.39576,FALSE
0.63,0.37,0,-0.39242,FALSE
0.62,0.38,0,-0.38908,FALSE
0.61,0.39,0,-0.38573999999999997,FALSE
0.6,0.4,0,-0.38239999999999996,FALSE
0.59,0.41,0,-0.37906,FALSE
0.58,0.42,0,-0.37572,FALSE
0.57,0.43,0,-0.37238000000000004,FALSE
0.56,0.44,0,-0.36904000000000003,FALSE
0.55,0.45,0,-0.3657,FALSE
0.54,0.46,0,-0.36236,FALSE
0.53,0.47,0,-0.35902,FALSE
0.52,0.48,0,-0.35568,FALSE
0.51,0.49,0,-0.35234,FALSE
0.5,0.5,0,-0.349,FALSE
0.49,0.51,0,-0.34565999999999997,FALSE
0.48,0.52,0,-0.34231999999999996,FALSE
0.47,0.53,0,-0.33898,FALSE
0.46,0.54,0,-0.33564,FALSE
0.45,0.55,0,-0.3323,FALSE
0.44,0.56,0,-0.32896,FALSE
0.43,0.57,0,-0.32562,FALSE
0.42,0.58,0,-0.32228,FALSE
0.41,0.59,0,-0.31894,FALSE
0.4,0.6,0,-0.3156,FALSE
0.39,0.61,0,-0.31226,FALSE
0.38,0.62,0,-0.30892,FALSE
0.37,0.63,0,-0.30557999999999996,FALSE
0.36,0.64,0,-0.30224,FALSE
0.35,0.65,0,-0.2989,FALSE
0.34,0.66,0,-0.29556,FALSE
0.33,0.67,0,-0.29222,FALSE
0.32,0.68,0,-0.28888,FALSE
0.31,0.69,0,-0.28554,FALSE
0.3,0.7,0,-0.2822,FALSE
0.29,0.71,0,-0.27886,FALSE
0.28,0.72,0,-0.27552,FALSE
0.27,0.73,0,-0.27218,FALSE
0.26,0.74,0,-0.26883999999999997,FALSE
0.25,0.75,0,-0.2655,FALSE
0.24,0.76,0,-0.26216,FALSE
0.23,0.77,0,-0.25882,FALSE
0.22,0.78,0,-0.25548,FALSE
0.21,0.79,0,-0.25214,FALSE
0.2,0.8,0,-0.24879999999999997,FALSE
0.19,0.81,0,-0.24545999999999996,FALSE
0.18,0.82,0,-0.24212,FALSE
0.17,0.83,0,-0.23878,FALSE
0.16,0.84,0,-0.23543999999999998,FALSE
0.15,0.85,0,-0.23210000000000003,FALSE
0.14,0.86,0,-0.22876000000000002,FALSE
0.13,0.87,0,-0.22542,FALSE
0.12,0.88,0,-0.22208,FALSE
0.11,0.89,0,-0.21874,FALSE
0.1,0.9,0,-0.21539999999999998,FALSE
0.09,0.91,0,-0.21205999999999997,FALSE
0.08,0.92,0,-0.20871999999999996,FALSE
0.07,0.93,0,-0.20538,FALSE
0.06,0.94,0,-0.20204,FALSE
0.05,0.95,0,-0.1987,FALSE
0.04,0.96,0,-0.19536000000000003,FALSE
