"P.1","P.2","P.3","P.4","P.5","P.6"
0.5,0.1,0.1,0.1,0.1,0.1
0.4,0.2,0.1,0.1,0.1,0.1
0.3,0.3,0.1,0.1,0.1,0.1
0.2,0.4,0.1,0.1,0.1,0.1
0.1,0.5,0.1,0.1,0.1,0.1
0.4,0.1,0.2,0.1,0.1,0.1
0.3,0.2,0.2,0.1,0.1,0.1
0.2,0.3,0.2,0.1,0.1,0.1
0.1,0.4,0.2,0.1,0.1,0.1
0.3,0.1,0.3,0.1,0.1,0.1
0.2,0.2,0.3,0.1,0.1,0.1
0.1,0.3,0.3,0.1,0.1,0.1
0.2,0.1,0.4,0.1,0.1,0.1
0.1,0.2,0.4,0.1,0.1,0.1
0.1,0.1,0.5,0.1,0.1,0.1
0.4,0.1,0.1,0.2,0.1,0.1
0.3,0.2,0.1,0.2,0.1,0.1
0.2,0.3,0.1,0.2,0.1,0.1
0.1,0.4,0.1,0.2,0.1,0.1
0.3,0.1,0.2,0.2,0.1,0.1
0.2,0.2,0.2,0.2,0.1,0.1
0.1,0.3,0.2,0.2,0.1,0.1
0.2,0.1,0.3,0.2,0.1,0.1
0.1,0.2,0.3,0.2,0.1,0.1
0.1,0.1,0.4,0.2,0.1,0.1
0.3,0.1,0.1,0.3,0.1,0.1
0.2,0.2,0.1,0.3,0.1,0.1
0.1,0.3,0.1,0.3,0.1,0.1
0.2,0.1,0.2,0.3,0.1,0.1
0.1,0.2,0.2,0.3,0.1,0.1
0.1,0.1,0.3,0.3,0.1,0.1
0.2,0.1,0.1,0.4,0.1,0.1
0.1,0.2,0.1,0.4,0.1,0.1
0.1,0.1,0.2,0.4,0.1,0.1
0.1,0.1,0.1,0.5,0.1,0.1
0.4,0.1,0.1,0.1,0.2,0.1
0.3,0.2,0.1,0.1,0.2,0.1
0.2,0.3,0.1,0.1,0.2,0.1
0.1,0.4,0.1,0.1,0.2,0.1
0.3,0.1,0.2,0.1,0.2,0.1
0.2,0.2,0.2,0.1,0.2,0.1
0.1,0.3,0.2,0.1,0.2,0.1
0.2,0.1,0.3,0.1,0.2,0.1
0.1,0.2,0.3,0.1,0.2,0.1
0.1,0.1,0.4,0.1,0.2,0.1
0.3,0.1,0.1,0.2,0.2,0.1
0.2,0.2,0.1,0.2,0.2,0.1
0.1,0.3,0.1,0.2,0.2,0.1
0.2,0.1,0.2,0.2,0.2,0.1
0.1,0.2,0.2,0.2,0.2,0.1
0.1,0.1,0.3,0.2,0.2,0.1
0.2,0.1,0.1,0.3,0.2,0.1
0.1,0.2,0.1,0.3,0.2,0.1
0.1,0.1,0.2,0.3,0.2,0.1
0.1,0.1,0.1,0.4,0.2,0.1
0.3,0.1,0.1,0.1,0.3,0.1
0.2,0.2,0.1,0.1,0.3,0.1
0.1,0.3,0.1,0.1,0.3,0.1
